Bild_Nr,Werktitel,Hook,Kuenstler_Name,Technik,Genre,KI_Satz,KI_Beschreibung,Hashtags,Ausschnitt_URL_1,Ausschnitt_URL_2,Ausschnitt_URL_3,Foto_URL_1,Foto_URL_2,Kuenstler_Foto_URL,Event_Zeile1,Event_Zeile2,Event_Zeile3,CTA
25.100.10,Abendrot an der Ahr,Dieser Künstler verwandelt Räume in Museen.,Angelika Castelli,Acryl auf Leinwand,Sonstiges,Acryl auf Leinwand · Sonstiges,,#Kunsttage2026 #Pfalzkunst #ContemporaryArt #Edenkoben #Benefizkunst,https://kunsttage-ludwigshoehe.de/uploads/reels/2510010_t7.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510010_t14.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510010_t23.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510010.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510010.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510010.jpg,14. Kunsttage auf der Ludwigshöhe,17. & 18. Oktober 2026,Schloss Villa Ludwigshöhe · Edenkoben · Eintritt frei,Alle Werke → Link in Bio
25.100.11,Black eruption,Dieser Künstler verwandelt Räume in Museen.,Angelika Castelli,Acryl auf Leinwand,Sonstiges,Acryl auf Leinwand · Sonstiges,,#Kunsttage2026 #Pfalzkunst #ContemporaryArt #Edenkoben #Benefizkunst,https://kunsttage-ludwigshoehe.de/uploads/reels/2510011_t7.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510011_t14.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510011_t23.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510011.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510011.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510011.jpg,14. Kunsttage auf der Ludwigshöhe,17. & 18. Oktober 2026,Schloss Villa Ludwigshöhe · Edenkoben · Eintritt frei,Alle Werke → Link in Bio
25.100.12,Das Gastmahl des Albertus Magnus,Dieser Künstler verwandelt Räume in Museen.,Angelika Castelli,Acryl auf Leinwand,Sonstiges,Acryl auf Leinwand · Sonstiges,,#Kunsttage2026 #Pfalzkunst #ContemporaryArt #Edenkoben #Benefizkunst,https://kunsttage-ludwigshoehe.de/uploads/reels/2510012_t7.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510012_t14.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510012_t23.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510012.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510012.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510012.jpg,14. Kunsttage auf der Ludwigshöhe,17. & 18. Oktober 2026,Schloss Villa Ludwigshöhe · Edenkoben · Eintritt frei,Alle Werke → Link in Bio
25.100.13,Der geheime Garten,Dieser Künstler verwandelt Räume in Museen.,Angelika Castelli,Acryl auf Leinwand,Sonstiges,Acryl auf Leinwand · Sonstiges,,#Kunsttage2026 #Pfalzkunst #ContemporaryArt #Edenkoben #Benefizkunst,https://kunsttage-ludwigshoehe.de/uploads/reels/2510013_t7.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510013_t14.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510013_t23.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510013.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510013.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510013.jpg,14. Kunsttage auf der Ludwigshöhe,17. & 18. Oktober 2026,Schloss Villa Ludwigshöhe · Edenkoben · Eintritt frei,Alle Werke → Link in Bio
25.100.14,Undine,Dieser Künstler verwandelt Räume in Museen.,Angelika Castelli,Acryl auf Leinwand,Sonstiges,Acryl auf Leinwand · Sonstiges,,#Kunsttage2026 #Pfalzkunst #ContemporaryArt #Edenkoben #Benefizkunst,https://kunsttage-ludwigshoehe.de/uploads/reels/2510014_t7.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510014_t14.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510014_t23.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510014.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510014.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510014.jpg,14. Kunsttage auf der Ludwigshöhe,17. & 18. Oktober 2026,Schloss Villa Ludwigshöhe · Edenkoben · Eintritt frei,Alle Werke → Link in Bio
25.100.21,Chorus of One - Stille Sehnsucht,Dieser Künstler verwandelt Räume in Museen.,Marika Fünffinger · Burrweiler,Aquarell,Abstrakt,Aquarell · Abstrakt,,#Kunsttage2026 #Pfalzkunst #ContemporaryArt #Edenkoben #Benefizkunst #Burrweiler #AbstractArt,https://kunsttage-ludwigshoehe.de/uploads/reels/2510021_t7.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510021_t14.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510021_t23.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510021.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510021.jpg,https://kunsttage-ludwigshoehe.de/uploads/portraits/portrait_55.jpg,14. Kunsttage auf der Ludwigshöhe,17. & 18. Oktober 2026,Schloss Villa Ludwigshöhe · Edenkoben · Eintritt frei,Alle Werke → Link in Bio
25.100.22,Green Pulse - Frühlingsmelodie,Dieser Künstler verwandelt Räume in Museen.,Marika Fünffinger · Burrweiler,Aquarell,Abstrakt,Aquarell · Abstrakt,,#Kunsttage2026 #Pfalzkunst #ContemporaryArt #Edenkoben #Benefizkunst #Burrweiler #AbstractArt,https://kunsttage-ludwigshoehe.de/uploads/reels/2510022_t7.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510022_t14.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510022_t23.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510022.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510022.jpg,https://kunsttage-ludwigshoehe.de/uploads/portraits/portrait_55.jpg,14. Kunsttage auf der Ludwigshöhe,17. & 18. Oktober 2026,Schloss Villa Ludwigshöhe · Edenkoben · Eintritt frei,Alle Werke → Link in Bio
25.100.23,Giorno di bucato,Dieser Künstler verwandelt Räume in Museen.,Marika Fünffinger · Burrweiler,Aquarell,Abstrakt,Aquarell · Abstrakt,,#Kunsttage2026 #Pfalzkunst #ContemporaryArt #Edenkoben #Benefizkunst #Burrweiler #AbstractArt,https://kunsttage-ludwigshoehe.de/uploads/reels/2510023_t7.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510023_t14.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510023_t23.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510023.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510023.jpg,https://kunsttage-ludwigshoehe.de/uploads/portraits/portrait_55.jpg,14. Kunsttage auf der Ludwigshöhe,17. & 18. Oktober 2026,Schloss Villa Ludwigshöhe · Edenkoben · Eintritt frei,Alle Werke → Link in Bio
25.100.24,Venezia-Peschiara,Dieser Künstler verwandelt Räume in Museen.,Marika Fünffinger · Burrweiler,Aquarell,Sonstiges,Aquarell · Sonstiges,,#Kunsttage2026 #Pfalzkunst #ContemporaryArt #Edenkoben #Benefizkunst #Burrweiler,https://kunsttage-ludwigshoehe.de/uploads/reels/2510024_t7.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510024_t14.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510024_t23.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510024.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510024.jpg,https://kunsttage-ludwigshoehe.de/uploads/portraits/portrait_55.jpg,14. Kunsttage auf der Ludwigshöhe,17. & 18. Oktober 2026,Schloss Villa Ludwigshöhe · Edenkoben · Eintritt frei,Alle Werke → Link in Bio
25.100.25,Marokko - Hoher Atlas,Dieser Künstler verwandelt Räume in Museen.,Marika Fünffinger · Burrweiler,Aquarell,Sonstiges,Aquarell · Sonstiges,,#Kunsttage2026 #Pfalzkunst #ContemporaryArt #Edenkoben #Benefizkunst #Burrweiler,https://kunsttage-ludwigshoehe.de/uploads/reels/2510025_t7.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510025_t14.jpg,https://kunsttage-ludwigshoehe.de/uploads/reels/2510025_t23.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510025.jpg,https://kunsttage-ludwigshoehe.de/uploads/web/2510025.jpg,https://kunsttage-ludwigshoehe.de/uploads/portraits/portrait_55.jpg,14. Kunsttage auf der Ludwigshöhe,17. & 18. Oktober 2026,Schloss Villa Ludwigshöhe · Edenkoben · Eintritt frei,Alle Werke → Link in Bio
